uuid	name	publisher_uuid	file_link	first_seen	pub_date	file_harvest_date
NULL	MNHN - Collection of reptiles and amphibians - Version 1.2	e3767b6a-ac91-49b9-9e69-bd2fa10caf42	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-zoology-reptamph	2018-02-08 12:09:09.142519	2018-07-04 14:46:47	NULL
NULL	MNHN - Collection of herbarium specimens - Version 1.1	e3767b6a-ac91-49b9-9e69-bd2fa10caf42	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-botany	2018-02-08 12:09:09.142519	2018-07-04 14:50:09	NULL
NULL	MNHN - Collection of fossils - Version 1.1	e3767b6a-ac91-49b9-9e69-bd2fa10caf42	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-palaeontology	2018-02-08 12:09:09.142519	2018-07-04 14:31:45	NULL
NULL	test-mike - Version 0	7745cb1d-7823-4d65-9141-b142ade1439b	http://ipt.inpa.gov.br/resource.do?r=test-mike	2018-02-09 17:02:22.047078	2018-10-04 11:02:52.861446	NULL
NULL	NLU DwC-Archive	42f2a0a4-5981-4874-88d5-9efb1e8d52c9	http://sernecportal.org/portal/content/dwca/NLU_DwC-A.zip	2018-02-14 12:50:30.172423	2018-07-23 08:29:45	NULL
NULL	E. C. Smith Herbarium (ACAD) - Cape Breton University Collection - Version 1.1	36b3c4ad-dc51-4946-8f6d-4ac88b76657a	http://data.canadensys.net/ipt/archive.do?r=cbu-specimens	2018-02-21 15:00:28.297296	2018-03-07 15:10:11	NULL
NULL	E. C. Smith Herbarium (ACAD) - Nova Scotia Museum of Natural History - Version 1.1	36b3c4ad-dc51-4946-8f6d-4ac88b76657a	http://data.canadensys.net/ipt/archive.do?r=nspm-specimens	2018-02-23 10:26:00.707383	2018-03-07 15:09:09	NULL
NULL	PEMB DwC-Archive	42f2a0a4-5981-4874-88d5-9efb1e8d52c9	http://sernecportal.org/portal/content/dwca/PEMB_DwC-A.zip	2018-02-25 20:01:56.670432	2018-07-23 08:29:45	NULL
NULL	WEWO DwC-Archive	42f2a0a4-5981-4874-88d5-9efb1e8d52c9	http://sernecportal.org/portal/content/dwca/WEWO_DwC-A.zip	2018-02-25 20:01:56.670432	2018-07-23 08:29:45	NULL
NULL	Occurrence data of Laphyctis (Diptera: Asiloidea: Asilidae) - Version 1.1	32069b11-a9d2-42e2-aa9c-b16350444909	https://collections.nmnh.si.edu/ipt/archive.do?r=laphyctis	2018-02-27 16:18:32.16322	2018-06-15 14:16:50	NULL
NULL	Herbier du muséum Henri-Lecoq de Clermont-Ferrand - Apiaceae et Polygonaceae - Version 1.0	47dc2b5f-2c3f-485c-a9dd-e1ba77d88551	http://ipt.gbif.fr/archive.do?r=herbier_clf_lecoq_apiacees	2018-02-28 12:51:35.080448	2018-02-28 16:55:15	NULL
NULL	Canadian Museum of Nature Fossil Invertebrate Collection - Version 1.3	1d4ad186-9398-4b2f-8ff6-45a7cfeec616	http://ipt.nature.ca/archive.do?r=cmn_fossil_invertebrate	2018-03-01 14:59:51.447517	2018-02-28 14:07:49	NULL
NULL	Canadian Museum of Nature Fossil Vertebrate Collection - Version 1.3	1d4ad186-9398-4b2f-8ff6-45a7cfeec616	http://ipt.nature.ca/archive.do?r=cmn_fossil_vertebrate	2018-03-01 14:59:51.447517	2018-02-28 15:56:55	NULL
NULL	Canadian Museum of Nature Palaeobotany Collection - Version 1.2	1d4ad186-9398-4b2f-8ff6-45a7cfeec616	http://ipt.nature.ca/archive.do?r=cmn_palaeobotany	2018-03-01 14:59:51.447517	2018-07-19 15:03:23	NULL
NULL	Canadian Museum of Nature Palynology Collection - Version 1.2	1d4ad186-9398-4b2f-8ff6-45a7cfeec616	http://ipt.nature.ca/archive.do?r=cmn_palynology	2018-03-01 14:59:51.447517	2018-02-28 14:01:09	NULL
NULL	EKU-Ichthyology DwC-Archive	4ba32e51-1da1-46f7-a5d7-a95cef95ef8e	http://csvcoll.org/portal/content/dwca/EKU-Ichthyology_DwC-A.zip	2018-03-06 12:52:53.279499	2018-08-19 23:39:34	NULL
NULL	NPS - Inventory and Monitoring Program - NPSpecies - Park Species Lists - Version 2.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=nps-npspecies-park_species_lists	2018-03-09 11:12:50.268315	2016-08-31 23:37:25	NULL
NULL	USGS PIERC - Hawaii Forest Bird Survey Database - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs_pierc_hfbs1	2018-03-09 11:12:50.268315	2016-08-31 23:47:41	NULL
NULL	USGS PWRC - Bird Phenology Program - Version 1.2	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-bird-phenology-program	2018-03-09 11:12:50.268315	2017-12-11 17:32:02	NULL
NULL	Multistate Aquatic Resources Information System - MARIS - Fish - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=multistate_aquatic_resources_information_system_-_maris_-_fish	2018-03-09 11:12:50.268315	2016-10-17 18:31:22	NULL
NULL	USGS ASC - Yukon Kuskokwim River Delta - Birds - 1992-2002 - Version 1.4	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/archive.do?r=usgs_asc_-_yukon_kuskokwim_river_delta_-_birds_-_1992-2002	2018-03-09 11:12:50.268315	2017-05-02 22:41:09	NULL
NULL	San Francisco Street Tree Census - 2015 - Version 1.13	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=sfcity-tree-census	2018-03-09 11:12:50.268315	2017-04-25 15:45:50	NULL
NULL	Los Angeles Street Tree Census - 2015 - Version 1.3	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=lacity-tree-census	2018-03-09 11:12:50.268315	2017-04-24 18:11:52	NULL
NULL	USFS - New York City Tree Census - 1995 - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=nycity-tree-census	2018-03-09 11:12:50.268315	2017-04-24 18:04:26	NULL
NULL	USFWS - Big Rivers Network Native Bee Survey - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usfws_bigrivers_beesurvey	2018-03-09 11:12:50.268315	2017-04-18 21:33:14	NULL
NULL	Invasive Plant Atlas of the MidSouth (IPAMS) - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=ipams	2018-03-09 11:12:50.268315	2017-04-18 21:30:23	NULL
NULL	iMapInvasives - NatureServe - New York - Version 1.2	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=imapinvasives-natureserve-ny	2018-03-09 11:12:50.268315	2017-04-18 21:26:31	NULL
NULL	USGS PWRC - Bird Banding Lab - Canada Province Centroid - Version 1.3	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-bbl-canada-province	2018-03-09 11:12:50.268315	2017-04-17 19:31:39	NULL
NULL	Butterflies and Moths of North America - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=bamona	2018-03-09 11:12:50.268315	2017-04-17 19:25:57	NULL
NULL	Towson University - MidAtlantic - Ailanthus altissima - 2011 - Version 4.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=towson_ailanthus	2018-03-09 11:12:50.268315	2016-08-31 23:57:04	NULL
NULL	EPA - National Lakes Assessment - zooplankton - 2007 - Version 1.2	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=epa_nla_zooplankton	2018-03-09 11:12:50.268315	2016-10-17 17:57:08	NULL
NULL	USGS PWRC - Bird Banding Lab - Canada 10min Block - Version 1.2	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-bbl-canada-10minblock	2018-03-09 11:12:50.268315	2016-10-05 16:36:02	NULL
NULL	USGS PWRC - Bird Banding Lab - US 10min Block - 1960-2010 - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-bbl-us-bandings-10minblock-1960-2010	2018-03-09 11:12:50.268315	2016-10-05 16:38:33	NULL
NULL	Vegbank - Carolina Vegetation Survey - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=vegbank-carolina-survey	2018-03-09 11:12:50.268315	2016-09-07 16:34:53	NULL
NULL	USGS PWRC - Bird Banding Lab - US 10min Block - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-bbl-us-10minblock	2018-03-09 11:12:50.268315	2016-09-01 16:37:38	NULL
NULL	USGS PWRC - Bird Banding Lab - Encounters - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-bbl-encounters	2018-03-09 11:12:50.268315	2016-09-01 16:16:19	NULL
NULL	USGS NWHC - Laboratory Information Management System - Eastern US - Avian Cholera and Pasteurella multocida - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-nwhc-easternus-limsaviancholera	2018-03-09 11:12:50.268315	2016-09-01 00:07:02	NULL
NULL	USGS ASC - Copper River Delta - Birds - 1997-2005 - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs_asc-copperriverdelta-birds-1997-2005	2018-03-09 11:12:50.268315	2016-09-01 00:05:43	NULL
NULL	USGS PWRC - North American Breeding Bird Atlas Explorer - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs_pwrc_north_american_breeding_bird_atlas	2018-03-09 11:12:50.268315	2016-09-01 00:04:01	NULL
NULL	USGS FORT - Mesa Verde National Park - Bats - 2006-2007 - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-fort-mesaverde-bats	2018-03-09 11:12:50.268315	2016-09-01 00:03:10	NULL
NULL	USGS FORT - Ouray National Wildlife Refuge - Bats - 2010 - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-fort-ouray-bats-2010	2018-03-09 11:12:50.268315	2016-09-01 00:01:28	NULL
NULL	USGS GAP - Alaska - Vertebrates - 1867-2009 - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs_gap_ak_vertebrates	2018-03-09 11:12:50.268315	2016-09-01 00:00:43	NULL
NULL	Maui Invasive Species Committee - Pest Surveys - 1996-2011 - Version 2.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=maui_invasive_species_committee--pest_surveys	2018-03-09 11:12:50.268315	2016-08-31 23:56:16	NULL
NULL	International Biological Information System (IBIS) - US - nonnative species - Version 4.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=international_biological_information_system-ibis	2018-03-09 11:12:50.268315	2016-08-31 23:50:54	NULL
NULL	BLM - National Invasive Species Information Management System - Plants - 2010-2014 - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=blm_nisims	2018-03-09 11:12:50.268315	2016-08-31 23:49:12	NULL
NULL	USFWS - Ruby Lake NWR - Vegetation Mapping Survey - 2012-2013 - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usfws_ruby_lake_nwr_vegetation_mapping_survey	2018-03-09 11:12:50.268315	2016-08-31 23:46:08	NULL
